variable,group,operational_definition,type_or_scale,source,interpretive_limit
stratum,Sampling,"Descriptive comparison stratum: Peru or International benchmark",Categorical,Sampling design,"Not a probability-sampled country comparison"
repository,Identification,"Public owner and repository name",Text,GitHub,"Repository is the analytical unit"
repository_url,Traceability,"Exact public repository URL",URL,GitHub,"Public source only"
location_evidence,Sampling,"Evidence used to associate a public organization profile with Peru",Text,Public GitHub profile,"Self-declared location"
scorecard_overall,External assessment,"OpenSSF overall score when a precalculated evaluation exists","0 to 10 or missing",OpenSSF Scorecard API,"Missing values are not zero"
security_policy_present,Risk governance,"SECURITY.md observed in the public default branch",Binary 0 or 1,Public repository tree,"Absence means not observed"
codeowners_present,Access governance,"CODEOWNERS file observed",Binary 0 or 1,Public repository tree,"Proxy only; not internal authorization evidence"
dependency_update_present,Risk treatment,"Dependabot or Renovate configuration observed",Binary 0 or 1,Public repository tree,"Proxy for continuous dependency treatment"
ci_workflow_count,Traceability,"Number of YAML workflows under .github/workflows",Count,Public repository tree,"Default branch only"
sast_workflow_present,Source code protection,"Workflow contains a documented SAST pattern",Binary 0 or 1,Static workflow inspection,"Heuristic; private scanning is not visible"
secret_scanning_workflow_present,Source code protection,"Workflow contains a documented secret-scanning pattern",Binary 0 or 1,Static workflow inspection,"Does not cover private controls"
test_workflow_present,Traceability and quality,"Test execution is indicated by a workflow name or content",Binary 0 or 1,Static workflow inspection,"Heuristic"
release_workflow_present,Traceability,"Release publication or deployment is indicated",Binary 0 or 1,Static workflow inspection,"Heuristic"
workflow_permission_score,Access control,"10 for explicit restrictive permissions; 5 for mixed restrictive and write permissions; 0 for broad write only; missing when not assessable","0 5 10 or missing",Public workflows,"Does not represent internal RBAC"
pinned_actions_ratio,Source code protection,"Share of remote actions pinned to a 40-character commit SHA","0 to 1 or missing",Public workflows,"Missing when no remote action can be assessed"
commits_last_90d,Monitoring,"Commits among the inspected history dated within 90 days","Count from 0 to 100",Public Git history,"History capped at 100 commits"
contributors_last_100_commits,Context,"Distinct contributors in the inspected commit history",Count,Public Git history,"Contributor identities are not exported"
conventional_commit_ratio,Traceability,"Share of inspected messages with a Conventional Commits prefix",0 to 1,Public Git history,"Text heuristic"
issue_reference_ratio,Traceability,"Share of inspected messages with a number or project-key reference",0 to 1,Public Git history,"Does not confirm a valid issue link"
merge_commit_ratio,Review and traceability,"Share of inspected commits with more than one parent",0 to 1,Public Git history,"Squash or rebase workflows can lower the value"
signed_commit_ratio_detected,Integrity,"Share of inspected commits with a local Git signature signal",0 to 1,Public Git history,"Detection does not validate signer identity"
risk_governance_observed,Composite proxy,"Mean observed score for security policy dependency updates recent activity and licensing",0 to 10,Documented workbook formula,"Public proxy; not ISO maturity"
access_control_observed,Composite proxy,"Mean observed score for CODEOWNERS workflow permissions and detected signing",0 to 10,Documented workbook formula,"Limited public coverage"
source_code_protection_observed,Composite proxy,"Mean observed score for SAST secret scanning dependency updates action pinning and signing",0 to 10,Documented workbook formula,"Private controls are not observable"
traceability_observed,Composite proxy,"Mean observed score for activity conventions references merges tests and releases",0 to 10,Documented workbook formula,"Proxy for development traceability"
observed_overall,Composite proxy,"Mean of the four observed dimensions",0 to 10,Documented workbook formula,"Exploratory summary only"
github_api_url,Traceability,"Exact GitHub REST metadata endpoint",URL,GitHub REST API,"Snapshot date must accompany reuse"
scorecard_api_url,Traceability,"Exact OpenSSF Scorecard endpoint",URL,OpenSSF Scorecard API,"May return no precalculated evaluation"
scorecard_http_status,Quality,"HTTP status returned by the Scorecard request",Integer,OpenSSF Scorecard API,"HTTP 404 or 406 is not a score of zero"
git_clone_status,Quality,"Status of the bounded Git inspection",Text,Local Git process,"Expected value is ok for every retained record"
